EID,FORTARGET,PROB
Q00003,1,0.7615238
Q00006,0,0.00074156845
Q00022,0,0.011851473
Q00023,0,0.010862964
Q00027,0,0.2390914
Q00029,0,0.0513781
Q00043,0,0.0027778219
Q00046,0,0.00071485183
Q00052,0,0.0015335317
Q00057,0,0.0004416914
Q00060,0,0.00034674545
Q00061,0,0.0026226093
Q00067,0,0.0039450903
Q00068,0,0.010428268
Q00069,0,0.00089239056
Q00074,0,0.00072728907
Q00079,0,0
Q00080,0,0.0006683749
Q00083,0,0.00055116136
Q00088,0,0.007054925
Q00095,0,0.00036014756
Q00106,0,0.00013826002
Q00107,0,0.0009119979
Q00112,0,0.0017466787
Q00113,0,0
Q00133,0,0.0011539811
Q00142,0,0.00027842994
Q00144,0,0
Q00146,0,0.006581143
Q00147,0,0.0005896922
Q00152,0,0.15532635
Q00154,0,0.00055259134
Q00160,0,0.0007193626
Q00164,0,0.00028103555
Q00167,0,0.0055856374
Q00169,0,0.0066363015
Q00170,0,0.0009256349
Q00175,0,0
Q00176,0,0.00030593085
Q00178,0,0.0004486681
Q00180,0,0.00026172804
Q00190,0,0.0007792967
Q00192,0,0
Q00194,0,0.00067581
Q00198,0,0.0012968606
Q00206,0,0.00024912346
Q00210,0,0.008856651
Q00221,0,0.0008993741
Q00235,0,0.00015346796
Q00237,0,0.0007529502
Q00239,0,0.007157175
Q00247,0,0.0003857314
Q00248,0,0.00063353975
Q00259,1,0.64421725
Q00260,0,0.33870083
Q00261,0,0.0017132749
Q00272,0,0.21045254
Q00282,0,0.00069980713
Q00283,0,0.0013363486
Q00287,0,0.0009888663
Q00289,0,0.04188624
Q00297,0,0.001031535
Q00303,0,0.0059912815
Q00308,0,0.00040768489
Q00316,0,0.0040428923
Q00321,0,2.72801e-06
Q00328,0,0.0070241108
Q00332,0,0.00047318338
Q00334,0,0.012104091
Q00338,0,0.00062650966
Q00340,0,0.0008891899
Q00351,0,0.00039610406
Q00364,0,0.001922662
Q00373,0,0.0007984875
Q00376,0,0.0015923277
Q00396,0,0.010545175
Q00401,0,0.0051105884
Q00405,0,0.2868321
Q00413,0,0.0035235523
Q00418,0,0.00011841398
Q00423,0,0.0012081094
Q00428,0,0.0011340972
Q00441,0,0.07961955
Q00443,0,0.0006103491
Q00444,0,0.00038845922
Q00447,0,0.012275668
Q00449,0,0.0273523
Q00454,0,0.0016402587
Q00459,0,0.0004983364
Q00462,0,2.046328e-12
